service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0,0,1,1,1,0,0,0,20210112,20210310
1,0,1,0,0,0,0,0,20210112,20210309
10,0,0,0,0,0,1,0,20210109,20210306
11,1,0,0,1,1,0,0,20210107,20210308
12,0,0,0,0,1,1,0,20210108,20210306
13,1,1,1,1,1,0,0,20210107,20210310
14,0,0,1,0,1,0,0,20210108,20210310
15,0,0,0,1,0,1,0,20210109,20210311
16,1,0,0,1,1,0,0,20210108,20210308
17,1,0,0,0,1,1,1,20210108,20210308
18,1,0,0,0,0,0,0,20210111,20210308
19,1,1,1,1,1,0,0,20210108,20210303
2,0,0,0,0,0,0,1,20210110,20210307
20,0,0,0,1,1,0,0,20210108,20210305
21,0,0,0,1,1,0,1,20210108,20210312
22,1,1,0,0,0,1,1,20210109,20210309
23,1,1,1,1,1,0,0,20210107,20210303
24,1,1,0,1,1,0,1,20210107,20210309
25,0,0,0,1,1,0,0,20210107,20210305
26,1,0,0,1,0,0,0,20210111,20210308
27,1,1,1,0,1,0,0,20210108,20210310
28,1,0,0,0,1,0,1,20210108,20210312
29,1,1,0,1,1,0,1,20210108,20210309
3,0,0,1,0,0,1,0,20210109,20210310
30,0,0,0,1,1,0,0,20210107,20210312
31,1,1,0,1,0,0,1,20210107,20210309
32,1,1,0,0,0,1,1,20210109,20210309
33,0,1,0,0,1,0,0,20210108,20210309
34,0,0,1,0,0,0,0,20210113,20210310
4,0,0,0,0,0,0,1,20210110,20210228
5,0,0,0,0,1,1,0,20210108,20210227
6,1,1,1,1,1,1,0,20210108,20210303
7,0,0,0,1,0,0,1,20210110,20210311
8,0,0,0,0,1,0,0,20210108,20210305
9,1,0,0,0,1,1,1,20210108,20210308
